votereg,CC20_410,gender,birthyr,race,educ,employ,faminc_new,region,urbancity,inputstate
1,2,1,1966,1,4,6,2,1,2,9
2,NA,2,1955,1,6,5,7,3,2,12
1,1,2,1946,1,5,5,7,2,NA,19
1,1,2,1962,1,5,6,10,1,4,25
1,4,1,1967,1,5,2,2,2,1,17
1,2,1,1961,1,3,1,5,2,2,39
2,NA,1,1950,2,3,5,3,3,3,51
1,2,2,1947,1,3,5,2,2,4,46
1,2,2,1970,1,2,1,6,2,4,39
1,1,2,1963,1,5,4,7,1,2,36
1,1,2,1966,1,5,2,9,3,2,51
1,1,2,1961,1,5,1,5,3,1,48
1,1,1,1959,1,3,1,9,2,3,18
1,1,2,1959,1,4,1,97,4,2,6
1,2,1,1960,1,3,1,9,2,4,26
1,2,1,1961,1,4,2,97,3,4,13
1,2,2,1950,1,4,1,10,3,4,5
1,1,1,1946,2,5,5,14,2,3,17
1,1,2,1963,2,6,1,9,3,2,22
1,1,1,1984,1,5,1,6,1,2,25
1,1,2,1984,1,5,2,9,4,2,53
1,2,2,1972,2,3,4,5,3,2,13
1,1,2,1948,1,3,5,8,4,4,4
1,1,2,1950,1,6,5,2,2,2,20
1,1,2,1934,1,6,5,97,4,2,6
2,NA,2,1971,1,3,8,97,4,2,6
1,NA,2,1957,1,3,2,9,4,2,6
1,1,2,1978,1,3,7,3,1,2,9
1,2,2,1964,1,2,2,2,4,2,53
2,NA,1,1946,1,4,1,5,2,3,39
1,2,1,1948,1,3,5,5,2,2,29
1,1,1,1954,1,5,2,5,2,2,29
2,NA,2,1987,1,5,4,97,3,3,21
1,1,2,1963,1,4,4,8,3,2,12
1,2,1,1946,1,2,5,97,1,3,25
1,2,2,1950,1,5,5,9,4,3,53
2,NA,2,1981,1,4,4,1,2,2,19
1,1,2,1971,1,3,1,10,2,2,39
1,2,1,1959,1,4,1,14,1,3,33
1,1,2,1965,2,6,7,9,3,2,1
1,2,1,1963,1,4,1,10,1,2,36
1,1,2,1953,1,3,5,5,2,2,18
1,2,2,1987,1,6,1,10,3,2,45
1,4,2,1953,1,3,5,3,2,1,17
1,2,1,1948,1,6,5,9,3,2,51
1,4,2,1973,7,5,1,8,2,1,29
1,1,2,1951,1,6,5,5,4,2,8
1,1,2,1959,1,6,1,9,3,3,5
1,1,2,1953,1,6,5,10,4,2,4
1,1,2,1958,1,6,1,10,3,1,48
1,2,2,1954,1,5,5,97,3,2,12
1,4,1,1967,1,5,1,12,4,2,49
1,2,1,1945,1,2,5,6,3,3,12
1,1,2,1956,1,4,7,9,2,2,39
1,2,1,1970,1,6,2,8,3,1,48
1,NA,1,1985,1,6,1,8,2,2,17
1,1,2,1967,1,5,1,13,3,2,48
1,2,2,1986,1,5,1,4,4,3,53
1,NA,2,1993,3,5,8,97,2,1,55
1,1,1,1951,1,6,1,10,3,1,24
1,2,1,1971,3,5,3,14,4,1,6
2,NA,2,1968,1,2,2,1,3,4,37
1,NA,2,1983,1,6,2,9,4,2,6
1,1,2,1954,1,2,4,2,3,1,48
1,1,2,1958,1,3,5,7,3,2,48
1,1,2,1959,3,5,3,6,2,4,26
1,2,2,1963,1,2,9,3,3,2,48
1,1,2,1943,1,5,5,11,4,1,6
1,2,1,1966,6,6,1,11,3,2,13
1,NA,1,1986,1,5,1,4,4,1,53
1,4,1,1986,1,5,7,9,1,3,25
1,1,1,1994,1,6,1,7,4,1,8
1,2,1,1966,1,4,1,9,3,2,1
1,1,2,1996,1,6,1,7,4,4,49
1,2,2,1963,1,4,2,97,2,2,26
1,2,2,1955,1,6,1,9,1,2,36
1,2,2,1978,1,3,1,4,3,2,37
1,1,2,1950,1,6,5,13,2,1,17
1,2,2,1965,1,4,6,11,3,3,37
1,2,2,1958,1,5,1,8,2,4,27
1,1,1,1955,3,6,1,10,3,2,12
1,NA,1,1988,1,6,1,97,1,1,36
1,NA,1,1990,1,5,1,4,2,3,26
1,2,2,1952,1,3,5,5,2,4,55
1,NA,1,1994,7,6,4,97,4,2,6
1,1,1,1958,1,4,5,2,2,3,26
1,4,2,1944,4,6,9,97,4,1,6
1,1,2,1947,1,3,5,11,3,2,12
1,1,1,1964,1,3,2,6,3,2,12
1,2,1,1953,1,6,5,6,2,4,29
1,2,2,1948,1,3,3,97,3,1,12
1,4,2,1987,1,6,1,6,4,2,53
1,2,2,1961,1,4,1,5,4,1,4
1,1,2,1941,3,6,2,10,3,2,24
1,2,1,1964,1,3,6,9,3,2,37
1,1,1,1993,7,5,1,11,4,2,41
1,1,2,1950,3,5,5,4,1,1,25
1,1,2,1966,1,3,1,10,3,1,48
1,2,2,1965,1,6,7,8,4,2,41
1,2,2,1993,1,5,4,97,4,2,6
1,1,2,1945,1,2,5,5,4,1,41
1,NA,1,1956,1,1,6,7,4,3,32
1,2,2,1957,1,2,6,2,3,4,13
1,1,2,1957,2,2,5,97,3,4,37
1,2,2,1938,1,2,5,97,2,2,18
3,NA,1,1952,1,1,6,6,3,2,40
1,2,1,1956,1,5,5,12,1,2,9
1,1,1,1964,3,3,4,2,4,3,6
1,1,2,1950,1,6,5,97,1,1,36
1,2,1,1958,1,5,1,97,4,2,6
1,NA,1,1997,4,5,1,7,4,2,15
1,1,2,1957,2,3,5,8,3,2,51
2,NA,2,1982,1,3,7,3,2,4,39
1,1,1,1986,4,6,1,9,2,2,17
1,2,1,1948,1,4,2,9,3,2,24
1,2,1,1982,1,6,1,16,1,2,44
1,2,1,1958,1,5,1,10,2,3,18
1,1,1,1951,1,5,1,9,2,4,46
1,1,2,1964,1,2,6,6,2,2,39
1,1,2,1954,1,5,6,1,4,3,41
1,2,1,1971,1,6,1,10,3,3,51
1,1,2,1989,1,5,1,6,4,2,41
1,2,2,1960,1,3,1,1,3,4,37
1,1,2,1960,1,3,1,97,1,2,36
1,2,2,1965,1,5,1,11,4,3,8
1,1,2,1958,1,3,5,7,4,2,41
1,1,2,1987,1,6,1,5,1,2,36
1,2,1,1957,1,2,9,5,3,3,24
1,1,2,1965,1,5,5,7,4,2,41
1,1,1,1961,1,4,1,3,4,1,6
1,1,2,1946,1,6,5,11,4,3,35
1,1,1,1941,1,5,5,97,4,1,53
1,2,2,1940,1,3,5,9,3,3,1
1,1,1,1951,1,2,5,97,4,4,8
1,2,2,1953,1,6,2,6,1,3,25
1,1,1,1985,3,6,1,11,1,1,36
1,2,2,1957,1,2,2,3,3,2,51
1,1,1,1964,1,5,1,7,2,3,18
1,2,2,1958,1,5,7,97,4,1,8
1,1,2,1957,1,3,6,97,3,3,54
1,2,2,1954,1,4,5,97,4,2,4
1,2,1,1990,1,5,1,9,1,1,36
1,1,1,1941,1,6,5,10,2,3,17
1,1,1,1954,1,3,1,9,3,4,1
1,2,1,1953,1,3,2,12,3,2,51
1,2,1,1948,1,5,5,12,3,4,28
1,1,1,1948,1,6,3,11,1,1,36
1,1,2,1966,7,6,4,5,1,2,36
1,1,2,1946,1,6,5,8,1,4,23
1,2,1,1954,1,3,5,5,3,2,48
1,2,1,1979,1,5,1,10,1,1,36
1,1,2,1944,1,5,5,2,2,2,17
1,1,2,1960,1,2,6,2,2,2,19
1,1,2,1959,1,6,2,14,2,2,18
1,2,2,1944,1,3,5,97,4,2,6
1,1,1,1948,1,3,5,6,3,4,12
1,1,2,1947,1,5,5,9,2,2,39
1,2,2,1952,1,4,1,6,2,3,17
1,1,2,1986,4,6,8,8,1,1,36
1,1,1,1951,1,2,1,10,2,3,19
1,2,2,1936,1,2,5,4,4,4,41
1,2,2,1964,1,3,1,4,2,4,27
1,1,1,1946,1,5,5,7,3,2,1
1,2,1,1947,1,3,2,12,3,3,12
1,1,2,1945,1,2,5,8,4,2,53
1,1,1,1950,7,6,5,5,2,4,55
1,1,1,1943,3,3,5,5,3,4,12
1,2,1,1951,1,2,2,10,2,2,17
1,2,2,1958,1,3,1,7,3,4,12
1,1,1,1958,1,5,1,10,2,1,17
1,1,2,1962,2,5,1,10,3,2,37
1,2,2,1945,1,5,5,8,2,2,17
1,1,2,1943,1,5,5,6,1,2,25
1,1,2,1940,1,5,5,6,3,4,12
1,1,2,1963,1,5,1,12,2,1,19
1,2,2,1951,1,5,5,6,3,4,40
1,1,2,1954,1,5,5,7,3,3,12
1,1,2,1943,1,5,2,97,4,2,6
1,1,1,1952,1,6,5,9,1,3,25
1,1,1,1952,1,6,5,9,2,1,39
1,1,2,1948,1,5,9,8,4,1,6
1,1,2,1952,1,6,5,4,4,1,30
1,1,1,1952,1,5,5,7,2,3,26
1,2,2,1959,1,5,5,4,3,2,48
2,NA,2,1968,1,4,1,3,3,1,48
1,1,2,1945,1,5,5,97,3,2,47
1,1,2,1949,1,6,5,4,2,1,17
2,NA,1,1943,1,5,5,5,2,2,17
1,2,1,1949,1,5,5,8,3,1,12
1,1,1,1936,1,6,5,10,4,2,6
1,1,2,1947,1,6,5,9,3,4,5
1,1,2,1949,1,6,5,8,3,2,51
1,1,1,1943,1,5,5,8,3,3,1
2,NA,2,1954,1,3,5,2,2,4,26
1,1,2,1967,4,5,1,10,4,1,41
1,NA,2,1942,1,5,5,2,4,3,6
1,2,1,1943,7,5,5,8,2,2,39
1,2,2,1955,1,6,2,4,1,4,36
1,2,1,1946,1,6,5,10,3,1,48
1,1,2,1957,1,3,6,8,3,2,12
1,1,1,1953,1,6,5,13,3,2,48
1,1,2,1951,1,6,5,3,1,1,36
1,1,2,1959,1,5,5,97,4,3,6
1,2,2,1945,1,5,5,5,1,3,36
1,1,1,1956,3,6,6,2,4,1,6
1,1,2,1960,1,4,6,2,4,1,32
1,NA,2,1954,1,6,5,2,3,4,48
1,1,1,1951,1,3,5,5,2,1,55
1,1,2,1948,1,4,5,7,3,4,37
1,2,1,1949,1,4,5,5,3,2,47
1,1,1,1944,1,6,5,11,4,3,6
1,2,1,1943,1,3,5,9,4,5,41
1,1,2,1930,1,6,5,7,2,1,20
